date,store,category,customer_id,revenue,units,member,availability_pct,month,year,month_name,day_name,avg_basket_value,is_member
2025-04-13,Birmingham,Fresh Food,1435,24.59,2,No,94.3,2025-04,2025,April,Sunday,12.295,0
2026-03-12,Croydon,Food To Go,1839,31.09,5,No,92.4,2026-03,2026,March,Thursday,6.218,0
2025-09-28,Bristol,Soft Drinks,5001,41.37,1,Yes,97.9,2025-09,2025,September,Sunday,41.37,1
2025-04-17,Camden,Fresh Food,5455,15.97,7,No,97.8,2025-04,2025,April,Thursday,2.2814285714285716,0
2025-03-13,Birmingham,Food To Go,5959,21.34,2,No,97.8,2025-03,2025,March,Thursday,10.67,0
2025-01-21,Birmingham,Fruit & Veg,3681,43.65,1,Yes,92.6,2025-01,2025,January,Tuesday,43.65,1
2025-05-02,Croydon,Own Brand,2650,55.67,4,No,95.8,2025-05,2025,May,Friday,13.9175,0
2026-04-12,Reading,Chilled,2245,45.91,5,Yes,94.2,2026-04,2026,April,Sunday,9.181999999999999,1
2025-08-03,Birmingham,Soft Drinks,3261,53.34,1,No,94.0,2025-08,2025,August,Sunday,53.34,0
2025-11-27,Reading,Fruit & Veg,1915,55.47,3,No,93.1,2025-11,2025,November,Thursday,18.49,0
2025-03-29,Croydon,Meal Deals,4889,44.42,1,Yes,94.5,2025-03,2025,March,Saturday,44.42,1
2026-01-08,London Central,Food To Go,5481,28.9,1,Yes,93.2,2026-01,2026,January,Thursday,28.9,1
2025-04-10,Croydon,Soft Drinks,2326,12.44,5,Yes,95.3,2025-04,2025,April,Thursday,2.488,1
2025-05-11,Croydon,Fresh Food,4358,62.35,5,Yes,96.5,2025-05,2025,May,Sunday,12.47,1
2025-11-05,London Central,Meal Deals,2585,40.22,2,Yes,94.7,2025-11,2025,November,Wednesday,20.11,1
2025-12-10,London Central,Own Brand,4368,40.0,6,No,95.5,2025-12,2025,December,Wednesday,6.666666666666667,0
2026-05-07,Camden,Meal Deals,1388,56.69,1,Yes,97.0,2026-05,2026,May,Thursday,56.69,1
2026-02-18,Birmingham,Snacks,3791,18.16,1,Yes,93.1,2026-02,2026,February,Wednesday,18.16,1
2026-01-21,Camden,Chilled,4332,41.35,5,No,95.4,2026-01,2026,January,Wednesday,8.27,0
2025-07-11,London Central,Own Brand,1703,28.34,7,No,93.7,2025-07,2025,July,Friday,4.048571428571429,0
2025-10-04,Reading,Meal Deals,3820,38.78,3,No,93.5,2025-10,2025,October,Saturday,12.926666666666668,0
2025-06-10,Reading,Food To Go,5959,72.93,7,No,98.5,2025-06,2025,June,Tuesday,10.418571428571429,0
2026-04-05,Croydon,Chilled,2059,31.01,5,Yes,94.8,2026-04,2026,April,Sunday,6.202,1
2025-11-10,Bristol,Soft Drinks,5174,42.41,3,Yes,92.9,2025-11,2025,November,Monday,14.136666666666665,1
2025-01-22,Croydon,Snacks,2298,39.18,6,Yes,94.8,2025-01,2025,January,Wednesday,6.53,1
2025-09-10,Croydon,Own Brand,2301,53.66,7,No,92.6,2025-09,2025,September,Wednesday,7.6657142857142855,0
2026-04-20,Bristol,Fruit & Veg,1673,47.29,5,Yes,94.6,2026-04,2026,April,Monday,9.458,1
2025-02-28,Birmingham,Chilled,3359,23.26,6,No,93.6,2025-02,2025,February,Friday,3.876666666666667,0
2026-05-26,London Central,Fresh Food,5299,68.43,4,Yes,96.0,2026-05,2026,May,Tuesday,17.1075,1
2026-04-21,Reading,Food To Go,5112,39.13,1,Yes,98.9,2026-04,2026,April,Tuesday,39.13,1
2025-07-09,Croydon,Own Brand,5571,23.26,6,No,94.7,2025-07,2025,July,Wednesday,3.876666666666667,0
2025-09-01,Bristol,Fresh Food,4582,19.82,3,No,93.7,2025-09,2025,September,Monday,6.6066666666666665,0
2026-05-20,Camden,Chilled,2016,50.13,4,Yes,95.2,2026-05,2026,May,Wednesday,12.5325,1
2025-05-11,Croydon,Own Brand,1209,61.41,3,Yes,98.0,2025-05,2025,May,Sunday,20.47,1
2026-04-30,Reading,Snacks,1498,55.39,2,Yes,96.0,2026-04,2026,April,Thursday,27.695,1
2025-01-21,London Central,Fruit & Veg,1428,34.14,2,Yes,94.7,2025-01,2025,January,Tuesday,17.07,1
2025-06-16,Croydon,Fruit & Veg,4639,35.24,1,No,90.9,2025-06,2025,June,Monday,35.24,0
2025-10-01,Croydon,Fresh Food,4151,48.37,4,Yes,94.9,2025-10,2025,October,Wednesday,12.0925,1
2026-01-23,Birmingham,Soft Drinks,3105,23.06,4,Yes,96.6,2026-01,2026,January,Friday,5.765,1
2025-11-12,Bristol,Soft Drinks,2553,61.5,2,No,96.9,2025-11,2025,November,Wednesday,30.75,0
2025-01-14,Camden,Snacks,4206,51.15,1,Yes,97.6,2025-01,2025,January,Tuesday,51.15,1
2025-08-30,Camden,Fruit & Veg,3569,27.18,6,Yes,93.7,2025-08,2025,August,Saturday,4.53,1
2025-12-12,London Central,Fresh Food,3628,38.34,2,Yes,94.2,2025-12,2025,December,Friday,19.17,1
2025-12-06,Reading,Fresh Food,2876,36.46,4,Yes,94.8,2025-12,2025,December,Saturday,9.115,1
2025-04-02,London Central,Own Brand,5994,29.51,3,Yes,96.4,2025-04,2025,April,Wednesday,9.836666666666668,1
2026-01-02,Croydon,Own Brand,2067,59.46,7,No,94.5,2026-01,2026,January,Friday,8.494285714285715,0
2026-03-31,Croydon,Fresh Food,2506,13.62,4,No,96.0,2026-03,2026,March,Tuesday,3.405,0
